ptMin,ptMax,tag,run,nDATA,nDATATag,nMCb,nMCbTag,nMCc,nMCcTag,nMCl,nMClTag,pb,pbTag,frb,frbTag,frc,frcTag,frl,frlTag,chi2,chi2Tag,effMC,effData,SF,effMCErr,effDataErr,SFErr,pbErr,pbTagErr,pc,pcErr,pcTag,pcTagErr,pl,plErr,plTag,plTagErr,ndof,ndofTag,p4,p4Err,p4Tag,p4ErrTag,p5,p5Err,p5Tag,p5ErrTag,nMC4,nMC4Tag,nMC5,nMC5Tag
200,350,DoubleBM2,733,23812.000000,12600.000000,8.194026,5.855934,0.426028,0.091072,4.069403,0.905017,1849.091187,1619.750122,0.636297,0.752790,0.033660,0.020515,0.321517,0.203869,1.642931,1.924700,0.714659,0.626020,0.875971,0.008756,0.046160,0.065476,79.212563,97.209755,1881.346558,272.967224,2838.337158,505.878601,1881.346558,272.967224,2838.337158,505.878601,12,15,95.376823,1120.915649,2838.337158,505.878601,95.376823,1120.915649,2838.337158,505.878601,0.463190,0.045503,0.775712,0.007764
200,350,DoubleBM2,734,23812.000000,12600.000000,8.194026,5.855934,0.426028,0.091072,4.069403,0.905017,1811.226440,1541.615601,0.623267,0.716476,0.035417,0.023656,0.338299,0.235076,2.449671,2.544697,0.714659,0.608278,0.851145,0.008756,0.047580,0.067390,98.979187,86.278748,1979.546021,277.238220,3272.817383,443.340393,1979.546021,277.238220,3272.817383,443.340393,12,15,37.015270,2942.480469,3272.817383,443.340393,37.015270,2942.480469,3272.817383,443.340393,0.463190,0.045503,0.775712,0.007764
200,350,DoubleBM2,735,23812.000000,12600.000000,8.194026,5.855934,0.426028,0.091072,4.069403,0.905017,1816.921509,1586.391846,0.625227,0.737286,0.035588,0.022290,0.339940,0.221506,1.453459,1.636513,0.714659,0.623984,0.873121,0.008756,0.036942,0.052787,69.465889,71.708771,1989.150146,127.971809,3083.897705,289.926758,1989.150146,127.971809,3083.897705,289.926758,12,15,0.017096,494.719574,3083.897705,289.926758,0.017096,494.719574,3083.897705,289.926758,0.463190,0.045503,0.775712,0.007764
200,350,DoubleBM2,736,23812.000000,12600.000000,8.194026,5.855934,0.426028,0.091072,4.069403,0.905017,1824.384644,1675.594604,0.627795,0.778744,0.034947,0.017736,0.333811,0.176248,2.064733,1.756608,0.714659,0.656374,0.918444,0.008756,0.039792,0.056805,64.690971,82.392708,1953.283569,117.344109,2453.791504,404.845154,1953.283569,117.344109,2453.791504,404.845154,12,15,0.017096,455.506470,2453.791504,404.845154,0.017096,455.506470,2453.791504,404.845154,0.463190,0.045503,0.775712,0.007764
200,350,DoubleBM2,737,23812.000000,12600.000000,8.194026,5.855934,0.426028,0.091072,4.069403,0.905017,1830.409180,1719.622925,0.629868,0.799206,0.033438,0.016327,0.319396,0.162244,2.163249,2.236166,0.714659,0.671404,0.939475,0.008756,0.042553,0.060646,77.167870,81.379608,1868.934448,274.400513,2258.818359,392.453888,1868.934448,274.400513,2258.818359,392.453888,12,15,264.992218,653.390808,2258.818359,392.453888,264.992218,653.390808,2258.818359,392.453888,0.463190,0.045503,0.775712,0.007764
200,350,DoubleBM2,738,23812.000000,12600.000000,8.194026,5.855934,0.426028,0.091072,4.069403,0.905017,1860.566284,1671.947632,0.640246,0.777049,0.033723,0.018442,0.322118,0.183270,2.105314,1.618541,0.714659,0.642209,0.898623,0.008756,0.038983,0.055648,66.834671,81.810982,1884.865112,119.445885,2551.552979,400.228455,1884.865112,119.445885,2551.552979,400.228455,12,15,0.017096,1365.084961,2551.552979,400.228455,0.017096,1365.084961,2551.552979,400.228455,0.463190,0.045503,0.775712,0.007764
200,350,DoubleBM2,739,23812.000000,12600.000000,8.194026,5.855934,0.426028,0.091072,4.069403,0.905017,2007.746338,1856.024902,0.690892,0.862600,0.022685,0.011127,0.216682,0.110571,1.421205,1.402514,0.714659,0.660653,0.924432,0.008756,0.038273,0.054739,80.078384,77.982452,1267.907593,249.921097,1539.407104,344.825195,1267.907593,249.921097,1539.407104,344.825195,12,15,1232.007690,579.769470,1539.407104,344.825195,1232.007690,579.769470,1539.407104,344.825195,0.463190,0.045503,0.775712,0.007764
200,350,DoubleBM2,740,23812.000000,12600.000000,8.194026,5.855934,0.426028,0.091072,4.069403,0.905017,1792.589478,1562.882080,0.616854,0.726360,0.035043,0.021658,0.334734,0.215227,1.964408,2.116826,0.714659,0.623080,0.871857,0.008756,0.043794,0.062204,81.186043,84.003716,1958.687378,267.892731,2996.469971,416.576477,1958.687378,267.892731,2996.469971,416.576477,12,15,101.316177,909.949280,2996.469971,416.576477,101.316177,909.949280,2996.469971,416.576477,0.463190,0.045503,0.775712,0.007764
200,350,DoubleBM2,741,23812.000000,12600.000000,8.194026,5.855934,0.426028,0.091072,4.069403,0.905017,1845.093384,1645.671753,0.634921,0.764837,0.032542,0.019053,0.310840,0.189335,3.080417,2.416223,0.714659,0.637417,0.891918,0.008756,0.037131,0.053093,75.384804,68.331757,1818.873047,220.686432,2635.991455,225.194824,1818.873047,220.686432,2635.991455,225.194824,12,15,183.625244,481.523621,2635.991455,225.194824,183.625244,481.523621,2635.991455,225.194824,0.463190,0.045503,0.775712,0.007764
200,350,DoubleBM2,742,23812.000000,12600.000000,8.194026,5.855934,0.426028,0.091072,4.069403,0.905017,1842.905518,1677.648560,0.634168,0.779698,0.033580,0.015481,0.320759,0.153840,2.428891,1.813791,0.714659,0.650574,0.910328,0.008756,0.038791,0.055413,73.191711,74.610283,1876.912476,215.666077,2141.824463,294.471863,1876.912476,215.666077,2141.824463,294.471863,12,15,94.335457,640.656006,2141.824463,294.471863,94.335457,640.656006,2141.824463,294.471863,0.463190,0.045503,0.775712,0.007764
